SalesId,SalesDate,SalesChannel,SalesLocation,CustomerId,CustomerName,ProductId,ProductName,UnitPrice,Quantity,ProductCategory,SalesRepresentativeId,SaleStatus,SalesPostalCode,,,
1,26/08/2023,Retail,Palma de Mallorca,14d33ecf-7be8-4cbd-ad74-93bac07a6f6a,Hortense Anwyl,10,Clothes,25.99,14,Clothes,32-3348801,On-Site,07005,,,
2,30/07/2023,Retail,Barcelona,aefbd570-9a6d-4cce-8e3a-df1c0c41e81b,Aryn Donneely,3,Phone,630.75,9,Technology,63-3310247,,08025,,,
3,23/08/2023,Retail,Madrid,9da57bda-36fd-4dd2-841e-cbd9bed19015,Webb Crowne,6,Board Game,23.99,15,Entretainment,11-7071935,Shipped,28012,,,
4,25/09/2023,Retail,Madrid,a11c9d25-bde6-4dda-a254-5af36b2567c5,Shauna Portriss,3,Phone,630.75,6,Technology,28-4823896,Confirmed,28012,,,
5,12/04/2023,Retail,Madrid,b8e2892d-b7ae-463f-89ac-afb242620d82,Nolie Perview,8,Food,15.65,3,Food & Drinks,02-1393520,Shipped,28012,,,
6,16/10/2023,Retail,Valencia,10ab06fb-084c-40a0-a8fb-fe0f176e8567,Lorelle Topaz,8,Food,15.65,9,Food & Drinks,77-6217547,Shipped,46007,,,
7,16/03/2023,Retail,Sevilla,6359d34e-07b1-4d47-9227-485871cab1b6,Em Paolo,10,Clothes,25.99,7,Clothes,63-9930637,Delivered,41011,,,
8,15/01/2023,Retail,Sevilla,03015df8-cd9e-4c95-b2dc-29d5d660954d,Shana Stiffkins,4,Computer,1503.5,14,Technology,40-9943788,Confirmed,41011,,,
9,12/05/2023,Retail,Valencia,7cc8e1a9-e35e-4558-8e59-2fb594a1d4a4,Lonna Daldan,10,Clothes,25.99,15,Clothes,38-9549113,Delivered,46007,,,
10,09/06/2023,Retail,Valencia,2b922bb4-46ab-41ca-b3d7-48081a7e510f,Dermot Chisolm,1,TV,532.9,5,Technology,06-6223353,Shipped,46007,,,
11,20/12/2023,Retail,Palma de Mallorca,8d2ef363-0fa2-44da-96b7-74882a8e0b2c,Marcellus Henriksson,9,Drinks,5.5,14,Food & Drinks,52-4418221,Confirmed,07005,,,
12,20/02/2023,Retail,Sevilla,7b96a3f2-708f-44b7-b6ef-5a4be2aae8e1,Raimundo Bichener,3,Phone,630.75,9,Technology,53-6579940,On-Site,41011,,,
13,11/09/2023,Retail,Sevilla,7baa2852-b26c-4092-bb51-4539b6597e7c,Farlie Guyonneau,8,Food,15.65,11,Food & Drinks,49-5778222,On-Site,41011,,,
14,04/08/2023,Retail,Barcelona,ea105c7e-0f6b-4267-bd2d-3ebc7cb64407,Ardyth Hanley,10,Clothes,25.99,1,Clothes,38-4819896,,08025,,,
15,08/05/2023,Retail,Barcelona,2d78b726-710b-4967-959f-f1abeb3e1ec0,Loy Greenrde,4,Computer,1503.5,9,Technology,05-3257084,On-Site,08025,,,
16,05/09/2023,Retail,Madrid,8b5ff5af-f1bd-47c0-b483-26afb1ab089c,Rockwell Skegg,5,Videogame,50,3,Entretainment,42-8281566,On-Site,28012,,,
17,09/10/2023,Retail,Sevilla,cb307b57-db30-454e-8680-1e797ff33114,Cob Whittuck,9,Drinks,5.5,9,Food & Drinks,47-6423630,On-Site,41011,,,
18,07/07/2023,Retail,Valencia,c0147ccf-1394-4bd0-ad71-80904b73295c,Forrester Knottley,3,Phone,630.75,13,Technology,17-8152952,Delivered,46007,,,
19,24/11/2023,Retail,,ef9efeeb-3925-4b0a-9cc2-9f7afdc40e26,Brady Grimshaw,9,Drinks,5.5,-1,Food & Drinks,62-7238627,Shipped,,,,
20,08/12/2023,Retail,Sevilla,,Augustine Bloodworth,10,Clothes,25.99,13,Clothes,24-3878853,Shipped,41011,,,
21,13/08/2023,Retail,Barcelona,b1fae3c0-175f-4dea-9ada-d0daffe0c402,Ethelbert Karoly,3,Phone,630.75,7,Technology,35-7530715,Confirmed,08025,,,
22,22/11/2023,Retail,Sevilla,528fe7f4-ce33-47a6-b299-e9965fcc7095,Karina Barnhart,3,Phone,630.75,8,Technology,69-6556013,Shipped,41011,,,
23,09/05/2023,Retail,Madrid,9fb67138-ce12-43a4-ade1-1bd2ea34ee57,Josi Canner,3,Phone,630.75,2,Technology,41-0224850,Delivered,28012,,,
24,31/03/2023,Retail,Madrid,2bd9a961-b805-423b-8b06-f7c71a329593,Lorrie Hailey,7,CD,40,1,Entretainment,64-4077563,Shipped,28012,,,
25,18/08/2023,Retail,Palma de Mallorca,17e29f55-415c-464f-b23f-ee5841a013b2,Wald Tuckey,1,TV,532.9,1,Technology,31-7707037,On-Site,07005,,,
26,30/11/2023,Retail,Madrid,83e66965-2b0c-4e29-ba21-30185a3ae7a0,Collete Colebourn,3,Phone,630.75,10,Technology,84-6812338,Shipped,28012,,,
27,30/04/2023,Retail,Barcelona,806c87a1-5f33-4154-806d-b2150030bfd6,Cosetta Hagger,4,Computer,1503.5,5,Technology,13-4981460,Confirmed,08025,,,
28,02/01/2023,Retail,Madrid,2def6596-db24-461e-82ff-72a97039a260,Duane Willwood,10,Clothes,25.99,9,Clothes,31-6482740,Delivered,28012,,,
29,24/10/2023,Retail,Palma de Mallorca,32cac2eb-c19b-4b2e-b41f-9c07abc928b9,Jonathon Creaven,3,Phone,630.75,15,Technology,96-6519680,Shipped,07005,,,
30,28/01/2023,Retail,Valencia,253854f3-33f9-423c-a2b9-493cb2555a28,Cris Esley,6,Board Game,23.99,2,,90-2171911,On-Site,46007,,,
31,18/10/2023,Retail,Palma de Mallorca,89493f42-b630-4a0c-a7c0-e1ecb5af0aa7,Porty Chesterton,4,Computer,1503.5,10,Technology,90-3098056,,07005,,,
32,13/06/2023,Retail,Madrid,1768e02d-dd38-4e2e-ab76-9182b38fc5b9,,10,Clothes,25.99,9,Clothes,26-9883028,On-Site,28012,,,
33,30/07/2023,Retail,Palma de Mallorca,e3474d74-af80-4e74-ba9b-84a924b96f4a,Lamar Addenbrooke,4,Computer,1503.5,15,Technology,09-6474579,Confirmed,07005,,,
34,22/02/2023,Retail,Madrid,dc8b5cd9-dcf3-4738-9f46-7bfbf0ea3c30,Lorie Crosbie,3,Phone,630.75,1,Technology,27-8911189,Delivered,28012,,,
35,29/08/2023,Retail,Barcelona,ea730fcc-84bd-4384-b2b3-6e19b3c1c5b1,Inness Malzard,8,Food,15.65,8,Food & Drinks,84-8660029,Delivered,08025,,,
36,18/08/2023,Retail,Sevilla,d847d35d-ad02-4fb8-b37c-b57b27d47813,Malinda Avarne,10,Clothes,25.99,3,Clothes,79-4932419,On-Site,41011,,,
